tavg,tmin,tmax,prcp,pres,city,year,month,tavg_norm,tmin_norm,tmax_norm,prcp_norm,pres_norm,fuzzy_prcp_label
27.3,23.1,33.0,230.0,1009.7,0,2006,1,0.605263157894737,0.2857142857142857,0.7580645161290323,0.15943694340706693,0.47169811320755123,Low
26.2,22.9,31.6,302.0,1010.5,0,2006,1,0.3157894736842103,0.22857142857142776,0.5322580645161292,0.21114622234989944,0.622641509433959,Medium
26.5,23.5,31.6,234.0,1011.2,0,2006,1,0.3947368421052631,0.3999999999999996,0.5322580645161292,0.1623096811261132,0.754716981132082,Low
26.3,23.3,31.7,157.0,1010.0,0,2006,1,0.34210526315789486,0.34285714285714264,0.5483870967741934,0.10700948003447285,0.5283018867924488,Low
26.3,23.5,31.4,518.0,1009.7,0,2006,1,0.34210526315789486,0.3999999999999996,0.4999999999999997,0.366274059178397,0.47169811320755123,High
25.8,23.6,29.7,823.0,1010.9,0,2007,1,0.21052631578947384,0.42857142857142855,0.22580645161290303,0.5853203102556737,0.6981132075471629,High
26.0,23.1,30.4,347.0,1011.2,0,2007,1,0.26315789473684204,0.2857142857142857,0.33870967741935454,0.24346452168916977,0.754716981132082,High
26.4,23.3,31.7,250.0,1010.0,0,2007,1,0.3684210526315785,0.34285714285714264,0.5483870967741934,0.17380063200229817,0.5283018867924488,Low
26.7,23.7,31.9,263.0,1010.1,0,2007,1,0.4473684210526313,0.4571428571428565,0.5806451612903223,0.1831370295891985,0.5471698113207552,Low
27.2,23.8,32.7,333.0,1009.8,0,2007,1,0.5789473684210523,0.4857142857142855,0.7096774193548392,0.2334099396725079,0.4905660377358361,Medium
26.5,23.4,31.7,394.0,1008.3,0,2007,1,0.3947368421052631,0.3714285714285706,0.5483870967741934,0.27721918988796324,0.2075471698113054,Medium
26.6,23.5,31.9,285.0,1009.6,0,2007,1,0.4210526315789477,0.3999999999999996,0.5806451612903223,0.19893708704395288,0.4528301886792449,Medium
26.7,23.2,32.1,209.0,1009.5,0,2007,1,0.4473684210526313,0.31428571428571367,0.6129032258064518,0.1443550703820741,0.4339622641509385,Low
26.3,23.2,31.8,369.0,1009.5,0,2007,1,0.34210526315789486,0.31428571428571367,0.5645161290322581,0.25926457914392415,0.4339622641509385,Medium
26.5,23.1,32.1,404.0,1009.5,0,2007,1,0.3947368421052631,0.2857142857142857,0.6129032258064518,0.2844010341855788,0.4339622641509385,Medium
25.8,23.2,30.9,457.0,1009.7,0,2007,1,0.21052631578947384,0.31428571428571367,0.4193548387096771,0.32246480896294166,0.47169811320755123,High
25.8,23.3,30.1,637.0,1008.9,0,2007,1,0.21052631578947384,0.34285714285714264,0.2903225806451614,0.451738006320023,0.32075471698112196,Medium
25.8,22.9,30.4,466.0,1009.9,0,2008,1,0.21052631578947384,0.22857142857142776,0.33870967741935454,0.32892846883079574,0.5094339622641424,High
25.4,23.2,29.1,445.0,1010.3,0,2008,1,0.10526315789473645,0.31428571428571367,0.12903225806451626,0.31384659580580293,0.5849056603773464,High
25.5,22.9,30.3,465.0,1009.6,0,2008,1,0.13157894736842102,0.22857142857142776,0.32258064516129037,0.32821028440103417,0.4528301886792449,High
26.3,23.3,32.0,251.0,1008.9,0,2008,1,0.34210526315789486,0.34285714285714264,0.596774193548387,0.17451881643205974,0.32075471698112196,Medium
27.1,23.5,32.7,347.0,1009.4,0,2008,1,0.5526315789473687,0.3999999999999996,0.7096774193548392,0.24346452168916977,0.4150943396226322,Medium
26.4,22.9,31.6,307.0,1009.8,0,2008,1,0.3684210526315785,0.22857142857142776,0.5322580645161292,0.21473714449870726,0.4905660377358361,Medium
26.3,23.3,31.2,183.0,1009.8,0,2008,1,0.34210526315789486,0.34285714285714264,0.4677419354838708,0.12568227520827346,0.4905660377358361,Low
26.4,23.0,31.6,326.0,1009.6,0,2008,1,0.3684210526315785,0.25714285714285673,0.5322580645161292,0.22838264866417696,0.4528301886792449,Medium
26.3,23.2,32.1,207.0,1009.9,0,2008,1,0.34210526315789486,0.31428571428571367,0.6129032258064518,0.14291870152255098,0.5094339622641424,Low
26.2,23.2,31.5,307.0,1010.3,0,2008,1,0.3157894736842103,0.31428571428571367,0.5161290322580645,0.21473714449870726,0.5849056603773464,Medium
26.3,23.5,31.9,482.0,1009.1,0,2008,1,0.34210526315789486,0.3999999999999996,0.5806451612903223,0.34041941970698075,0.35849056603773466,High
25.7,23.2,30.4,517.0,1009.1,0,2008,1,0.18421052631578924,0.31428571428571367,0.33870967741935454,0.36555587474863543,0.35849056603773466,Medium
25.2,23.3,28.3,1130.0,1010.7,0,2009,1,0.052631578947368224,0.34285714285714264,0.0,0.8058029301924734,0.6603773584905717,High
26.0,23.3,30.6,390.0,1009.6,0,2009,1,0.26315789473684204,0.34285714285714264,0.37096774193548404,0.27434645216891695,0.4528301886792449,High
26.0,22.9,31.7,305.0,1010.2,0,2009,1,0.26315789473684204,0.22857142857142776,0.5483870967741934,0.21330077563918412,0.5660377358490615,Medium
26.7,23.6,32.4,418.0,1009.4,0,2009,1,0.4473684210526313,0.42857142857142855,0.6612903225806449,0.2944556162022407,0.4150943396226322,High
27.1,23.8,33.1,254.0,1008.7,0,2009,1,0.5526315789473687,0.4857142857142855,0.774193548387097,0.17667336972134443,0.28301886792453074,Low
27.3,23.8,33.2,319.0,1009.7,0,2009,1,0.605263157894737,0.4857142857142855,0.7903225806451617,0.223355357655846,0.47169811320755123,Medium
